county,city,modelYear,make,model,electricVehicleType,electricRange,electricUtility,Range Class
Douglas,East Wenatchee,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUD NO 1 OF DOUGLAS COUNTY,Long Range
King,Bellevue,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),83.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Clark,Vancouver,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
King,Mercer Island,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),200.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
King,Enumclaw,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Kirkland,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),16.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Thurston,Yelm,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC,Short Range
King,Bellevue,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),289.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Snohomish,Marysville,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,PUGET SOUND ENERGY INC,Long Range
King,Renton,2011,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),35.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Renton,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),105.0415512465374,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
King,Seattle,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),232.69662921348313,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
Kittitas,Ellensburg,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC,Long Range
Yakima,Yakima,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38.0,PACIFICORP,Short Range
King,Mercer Island,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Snohomish,Bothell,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38.0,PUGET SOUND ENERGY INC,Short Range
Benton,Prosser,2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),23.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,Short Range
Pend Oreille,Newport,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUD NO 1 OF PEND OREILLE COUNTY,Long Range
Snohomish,Everett,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75.0,PUGET SOUND ENERGY INC,Short Range
Pierce,Tacoma,2021,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),126.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Medium Range
Clark,Vancouver,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),200.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Medium Range
Skagit,Sedro-Woolley,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21.0,PUGET SOUND ENERGY INC,Short Range
Pierce,Tacoma,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,Short Range
Kitsap,Suquamish,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,PUGET SOUND ENERGY INC,Long Range
King,Lake Forest Park,2018,BMW,I3,Battery Electric Vehicle (BEV),114.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
Cowlitz,Longview,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,Short Range
Island,Camano Island,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),19.0,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,Short Range
King,Seattle,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Shoreline,2014,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),6.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
King,Auburn,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Clark,Vancouver,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
Whatcom,Bellingham,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),258.0,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,Long Range
Benton,Richland,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),Short Range
King,Seattle,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
King,Burien,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Sammamish,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Yakima,Naches,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,PACIFICORP,Long Range
Whatcom,Bellingham,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,Long Range
King,Vashon,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),249.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Thurston,Olympia,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42.0,PUGET SOUND ENERGY INC,Short Range
Clallam,Port Angeles,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),73.0,BONNEVILLE POWER ADMINISTRATION||CITY OF PORT ANGELES - (WA),Short Range
Pierce,Puyallup,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Kent,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Issaquah,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Bellevue,2018,FIAT,500,Battery Electric Vehicle (BEV),84.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Thurston,Tumwater,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151.0,PUGET SOUND ENERGY INC,Medium Range
Benton,Richland,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42.0,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),Short Range
Thurston,Olympia,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238.0,PUGET SOUND ENERGY INC,Long Range
Franklin,Connell,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,"BONNEVILLE POWER ADMINISTRATION||BIG BEND ELECTRIC COOP, INC",Long Range
Pierce,Bonney Lake,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Maple Valley,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),105.0415512465374,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
King,Bellevue,2022,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV),22.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Clark,Vancouver,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),244.3,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
Clark,Vancouver,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
King,Federal Way,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Thurston,Olympia,2017,FIAT,500,Battery Electric Vehicle (BEV),84.0,PUGET SOUND ENERGY INC,Short Range
Island,Camano Island,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,Long Range
Whitman,Pullman,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38.0,AVISTA CORP,Short Range
Benton,Richland,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),Long Range
Snohomish,Edmonds,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC,Long Range
King,Bellevue,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Whatcom,Lynden,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,Long Range
Chelan,Cashmere,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,PUD NO 1 OF CHELAN COUNTY,Long Range
Pierce,University Place,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),105.0415512465374,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Medium Range
King,Renton,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),19.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Island,Coupeville,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC,Long Range
Thurston,Rochester,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),35.0,PUGET SOUND ENERGY INC,Short Range
Spokane,Spokane,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),19.0,BONNEVILLE POWER ADMINISTRATION||INLAND POWER & LIGHT COMPANY,Short Range
King,Redmond,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),232.69662921348313,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Skagit,Burlington,2022,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC,Short Range
Benton,Kennewick,2019,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),26.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,Short Range
Snohomish,Edmonds,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75.0,PUGET SOUND ENERGY INC,Short Range
Benton,Kennewick,2018,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),21.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,Short Range
Pierce,Tacoma,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),13.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Short Range
Kitsap,Port Orchard,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,PUGET SOUND ENERGY INC,Short Range
Clark,Vancouver,2017,SMART,FORTWO,Battery Electric Vehicle (BEV),58.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
Kitsap,Port Orchard,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,PUGET SOUND ENERGY INC,Short Range
Douglas,East Wenatchee,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUD NO 1 OF DOUGLAS COUNTY,Long Range
King,Seattle,2022,AUDI,E-TRON SPORTBACK,Battery Electric Vehicle (BEV),218.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
Snohomish,Bothell,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208.0,PUGET SOUND ENERGY INC,Long Range
Lewis,Chehalis,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),208.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,Long Range
King,Issaquah,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Kitsap,Bremerton,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC,Short Range
Clark,Camas,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),38.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
San Juan,Friday Harbor,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38.0,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,Short Range
Pierce,Tacoma,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),215.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Long Range
King,Federal Way,2018,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),22.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Whatcom,Bellingham,2020,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),19.0,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,Short Range
King,Redmond,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Clark,Battle Ground,2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),19.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
King,Burien,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
Kitsap,Silverdale,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75.0,PUGET SOUND ENERGY INC,Short Range
Clark,Brush Prairie,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
King,Newcastle,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),200.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
King,Bellevue,2022,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),16.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Kirkland,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
Clark,Vancouver,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
Kitsap,Poulsbo,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151.0,PUGET SOUND ENERGY INC,Medium Range
Clark,Vancouver,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),232.69662921348313,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
King,Newcastle,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Tukwila,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
King,Kent,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),6.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Pierce,University Place,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),215.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Long Range
Thurston,Tumwater,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,PUGET SOUND ENERGY INC,Short Range
Snohomish,Snohomish,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,PUGET SOUND ENERGY INC,Short Range
Kitsap,Port Orchard,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150.0,PUGET SOUND ENERGY INC,Medium Range
King,Redmond,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),149.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
King,Lake Forest Park,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
King,Auburn,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Pierce,Puyallup,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Long Range
King,Redmond,2015,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),6.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Kitsap,Bremerton,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC,Long Range
King,Bellevue,2016,KIA,SOUL,Battery Electric Vehicle (BEV),93.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Thurston,Olympia,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC,Long Range
King,Redmond,2017,FIAT,500,Battery Electric Vehicle (BEV),84.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Auburn,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Seattle,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
Kitsap,Silverdale,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32.0,PUGET SOUND ENERGY INC,Short Range
Skagit,Mount Vernon,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC,Long Range
King,Snoqualmie,2023,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),18.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Whatcom,Bellingham,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208.0,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,Long Range
King,Clyde Hill,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Kitsap,Bremerton,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),105.0415512465374,PUGET SOUND ENERGY INC,Medium Range
King,Snoqualmie,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Beaux Arts,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Thurston,Olympia,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208.0,PUGET SOUND ENERGY INC,Long Range
King,Seattle,2016,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),14.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
Benton,Richland,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),Long Range
King,Seatac,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),244.3,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Federal Way,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),73.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Snohomish,Snohomish,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,Long Range
Thurston,Tumwater,2022,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),33.0,PUGET SOUND ENERGY INC,Short Range
Clark,Camas,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
Yakima,Moxee,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26.0,PACIFICORP,Short Range
Pierce,Tacoma,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),244.3,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Long Range
King,Bellevue,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),72.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Jefferson,Port Hadlock,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),244.3,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,Long Range
King,Redmond,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Pierce,Graham,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Medium Range
King,Seattle,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Redmond,2022,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Auburn,2023,AUDI,E-TRON,Battery Electric Vehicle (BEV),210.54545454545453,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Vashon,2013,FIAT,500,Battery Electric Vehicle (BEV),87.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Maple Valley,2017,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Pierce,Ruston,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),208.0,BONNEVILLE POWER ADMINISTRATION||TOWN OF RUSTON - (WA)|CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Long Range
Clark,Vancouver,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),25.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
Clark,Vancouver,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),32.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
Thurston,Olympia,2015,FIAT,500,Battery Electric Vehicle (BEV),87.0,PUGET SOUND ENERGY INC,Short Range
Yakima,Yakima,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150.0,PACIFICORP,Medium Range
King,Auburn,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Kirkland,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Kitsap,Bremerton,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC,Long Range
Chelan,Leavenworth,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),35.0,PUD NO 1 OF CHELAN COUNTY,Short Range
King,Kirkland,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),17.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Snohomish,Everett,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC,Long Range
King,Redmond,2022,KIA,NIRO,Battery Electric Vehicle (BEV),239.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Jefferson,Port Townsend,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,Long Range
Island,Langley,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),293.0,PUGET SOUND ENERGY INC,Long Range
Pierce,Puyallup,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Long Range
Snohomish,Arlington,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32.0,PUGET SOUND ENERGY INC,Short Range
King,Sammamish,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Chelan,Leavenworth,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259.0,PUD NO 1 OF CHELAN COUNTY,Long Range
Clark,Ridgefield,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
King,Issaquah,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Bothell,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
